Vignetting Data

File : \\VBOXSVR\zemax\LSST_Corner\github\LSST_Ver_3.11_Baseline_Design.zmx
Title: LSSTv34_6c5w
Date : 7/7/2019
Configuration 3 of 6

Field values are in degrees
Values are fraction of rays which were not vignetted.
Rays traced at each field: 7845

       Field     Fraction
    0.000000     0.621287
    0.020000     0.619885
    0.040000     0.619758
    0.060000     0.620140
    0.080000     0.619375
    0.100000     0.619758
    0.120000     0.620778
    0.140000     0.620523
    0.160000     0.620268
    0.180000     0.620395
    0.200000     0.621160
    0.220000     0.621033
    0.240000     0.620395
    0.260000     0.620650
    0.280000     0.620778
    0.300000     0.620778
    0.320000     0.621160
    0.340000     0.622562
    0.360000     0.622180
    0.380000     0.621287
    0.400000     0.620650
    0.420000     0.621542
    0.440000     0.621542
    0.460000     0.620013
    0.480000     0.620650
    0.500000     0.620905
    0.520000     0.620650
    0.540000     0.620395
    0.560000     0.620395
    0.580000     0.620140
    0.600000     0.620650
    0.620000     0.621033
    0.640000     0.620905
    0.660000     0.620650
    0.680000     0.620268
    0.700000     0.619885
    0.720000     0.620268
    0.740000     0.619758
    0.760000     0.619758
    0.780000     0.619885
    0.800000     0.619375
    0.820000     0.619375
    0.840000     0.618483
    0.860000     0.618483
    0.880000     0.617463
    0.900000     0.617208
    0.920000     0.615806
    0.940000     0.615551
    0.960000     0.615679
    0.980000     0.615041
    1.000000     0.614659
    1.020000     0.614659
    1.040000     0.614659
    1.060000     0.614404
    1.080000     0.614149
    1.100000     0.614022
    1.120000     0.613129
    1.140000     0.612620
    1.160000     0.611727
    1.180000     0.611090
    1.200000     0.610198
    1.220000     0.609050
    1.240000     0.609433
    1.260000     0.608158
    1.280000     0.606501
    1.300000     0.605354
    1.320000     0.604334
    1.340000     0.603952
    1.360000     0.602549
    1.380000     0.600765
    1.400000     0.599618
    1.420000     0.598088
    1.440000     0.597196
    1.460000     0.595156
    1.480000     0.593499
    1.500000     0.591587
    1.520000     0.588910
    1.540000     0.588018
    1.560000     0.585978
    1.580000     0.583939
    1.600000     0.581772
    1.620000     0.578967
    1.640000     0.577438
    1.660000     0.575398
    1.680000     0.573869
    1.700000     0.571319
    1.720000     0.568260
    1.740000     0.565073
    1.760000     0.556405
    1.780000     0.537795
    1.800000     0.512938
    1.820000     0.485022
    1.840000     0.453537
    1.860000     0.426641
    1.880000     0.404079
    1.900000     0.383429
    1.920000     0.363544
    1.940000     0.325303
    1.960000     0.287699
    1.980000     0.251625
    2.000000     0.211855
    2.020000     0.153983
    2.040000     0.070618
    2.060000     0.000000
    2.080000     0.000000
    2.100000     0.000000
