raft, slot, run
LCA-11021_RTM-023, "R10", 10517
LCA-11021_RTM-011, "R01", 10861
LCA-11021_RTM-020, "R11", 10669
LCA-11021_RTM-014, "R20", 10928
LCA-11021_RTM-012, "R30", 11063
LCA-11021_RTM-025, "R21", 10722
LCA-11021_RTM-024, "R22", 11351
LCA-11021_RTM-009, "R12", 11415
LCA-11021_RTM-013, "R02", 10982
LCA-11021_RTM-007, "R31", 11903
LCA-11021_RTM-017, "R03", 11166
LCA-11021_RTM-016, "R34", 12027
LCA-11021_RTM-019, "R13", 11808
LCA-11021_RTM-005, "R23", 11852
LCA-11021_RTM-006, "R14", 11746
LCA-11021_RTM-015, "R32", 12008
LCA-11021_RTM-008, "R24", 11952
LCA-11021_RTM-022, "R43", 11671
LCA-11021_RTM-021, "R41", 12086
LCA-11021_RTM-018, "R42", 12130
LCA-11021_RTM-010, "R33", 12139
