,rtm,order,vendor,run
R00,,,,
R01,RTM-011,5.0,ITL,10861.0
R02,RTM-013,13.0,ITL,10982.0
R03,RTM-017,15.0,ITL,11166.0
R04,,,,
R10,RTM-023,7.0,ITL,10517.0
R11,RTM-020,6.0,e2v,10669.0
R12,RTM-009,12.0,e2v,11415.0
R13,RTM-019,17.0,e2v,11808.0
R14,RTM-006,19.0,e2v,11746.0
R20,RTM-014,8.0,ITL,10928.0
R21,RTM-025,10.0,e2v,10722.0
R22,RTM-024,11.0,e2v,11351.0
R23,RTM-005,18.0,e2v,11852.0
R24,RTM-008,21.0,e2v,11952.0
R30,RTM-012,9.0,e2v,11063.0
R31,RTM-007,14.0,e2v,11903.0
R32,RTM-015,20,e2v,12002
R33,RTM-010,24.0,e2v,12139.0
R34,RTM-016,16.0,e2v,12027.0
R40,,,,
R41,RTM-021,22.0,ITL,12086.0
R42,RTM-018,23.0,ITL,12120.0
R43,RTM-022,25.0,ITL,11671.0
R44,,,,
